title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Peking Shredded Pork with Sweet Bean Sauce (京酱肉丝),"Tender, juicy pork slivers flavoured with an umami-rich sauce, Peking shredded pork is simple to cook but tastes absolutely amazing.",https://redhousespice.com/peking-shredded-pork/,20m,6m,26m,4 servings,"[For marinating] 400 g pork tenderloin (aka pork fillet) about 14oz ,2 teaspoon light soy sauce ,2 teaspoon Shaoxing rice wine ,1 teaspoon cornstarch ,¼ teaspoon salt ,1 pinch ground white pepper ,2 tablespoon water ,1 teaspoon neutral cooking oil | [For the accompaniments] Scallions, the white part only ,Cucumber ,Tofu sheets or duck pancakes (see note 1 & 2) | [For the sauce] 3 tablespoon sweet bean sauce (Tian Mian Jiang/甜面酱) see note 3 ,1 tablespoon Shaoxing rice wine ,1 tablespoon sugar ,2 tablespoon water | [For stir-frying] 3 tablespoon neutral cooking oil","[Marinate the pork] 1) Use a sharp knife, cut pork, across the grain, into narrow strips. Then put it into a bowl. Add light soy sauce, Shaoxing rice wine, cornstarch, salt, white pepper and water. | 2) Use your fingers or chopsticks to agitate until the liquid is fully absorbed and the meat becomes sticky. Pour in 1 teaspoon of oil and mix to coat. Leave to marinate for 10 minutes or so. | [Prepare the accompaniments] 1) Julienne the white part of the scallions. Peel the cucumber and remove its seeds, then cut it into thin strips. | 2) Cut tofu sheets into squares (similar size to wonton wrappers). Blanch them in boiling water for 2 minutes. Drain then leave to dry. | [Mix the sauce] 1) In a bowl, mix sweet bean sauce, Shaoxing rice wine, sugar and water until smooth. Set aside. | [Stir-fry the dish] 1) Heat a wok (or a deep frying pan/skillet) until very hot then add 3 tablespoons of oil (if using non-stick cookware, add oil first then heat up). | 2) Put in the marinated pork. Use chopsticks to loosen the strips. Then toss constantly to fry evenly. As soon as the meat turns pale, transfer out leaving any oil in the wok. | 3) Turn the heat to low. Pour the sauce mixture into the wok and leave to simmer. | 4) Once the sauce starts to thicken, return the pork to the wok. Toss to evenly coat it with the sauce. | [Serve the dish] 1) Transfer the pork to a serving plate and put tofu sheets, scallions and cucumber on the side. | 2) Place some scallions, cucumber and pork strips over a piece of tofu sheet. Roll up and enjoy!",https://redhousespice.com/wp-content/uploads/2022/03/shredded-pork-with-sweet-bean-sauce-scaled.jpg,Main Course,Chinese,Pork,337 kcal,5.0,9.0,11.0
Pork Fried Rice (猪肉炒饭),"Delicious pork fried rice made in less than 20 minutes. Enjoy the mix of fluffy rice, tender pork and crunchy veggies coated with umami-filled seasoning.",https://redhousespice.com/pork-fried-rice/,10m,8m,18m,3 servings,"[For the seasoning] 2 tablespoon oyster sauce see note 1 for substitutes ,1 tablespoon light soy sauce ,½ tablespoon dark soy sauce ,⅛ teaspoon ground white pepper | [For the stir-fry] 2 tablespoon neutral cooking oil divided ,2 eggs, lightly beaten ,1 cup minced pork about 225g/8oz ,1 small onion, diced ,1 tablespoon minced garlic ,1 teaspoon minced ginger ,½ cup peas about 50g/1.8oz ,½ cup carrot, diced about 50g/1.8oz ,3 cups cold cooked white rice about 400g/14oz (see note 2) ,Scallions, finely chopped for garnishing","[Mix the sauce] 1) In a small bowl, mix oyster sauce, light soy sauce, dark soy sauce and white pepper. Set aside. | [Fry the egg] 1) Heat an empty, well-seasoned wok over high heat until smoking hot. Add 1 tablespoon of oil (see note 3 if using other cookware). Swirl to coat a bigger perimeter. | 2) Pour in the beaten egg. Once it begins to set at the bottom, stir to help the running part flow. Use a spatula to scramble so that it turns into small pieces. Transfer out and set aside. | [Fry the pork] 1) Pour the remaining 1 tablespoon of oil into the wok. Add minced pork. Spread and flatten it to ensure maximum contact with the wok. Wait for the bottom part to get lightly browned. Then flip and stir to fry it thoroughly. | 2) Once the pork loses its pink colour, add onion, garlic and ginger. Fry until the onion becomes a little transparent. | [Fry the vegetables & rice] 1) Stir in peas and carrots. Retain the high heat to fry for 30 seconds or so. Add rice and return the egg to the wok. Cook for a further 30-40 seconds. | 2) Pour the sauce mixture over. Toss and stir constantly to ensure an even coating. Once all the ingredients are piping hot, turn off the heat. Sprinkle scallions over and give everything a final toss.",https://redhousespice.com/wp-content/uploads/2022/03/chinese-pork-fried-rice-1-scaled.jpg,Main Course,Chinese,"Pork, Rice, Stir-fry",455 kcal,5.0,105.0,130.0
Pork Rib Soup (排骨汤),"A nourishing dish that's simple to prepare and lightly seasoned, Chinese pork rib soup warms both your body and heart.",https://redhousespice.com/pork-rib-soup/,10m,40m,50m,6 servings,"[Ingredients] 1½ lb pork ribs (see note 1) ,¾ teaspoon salt or to taste ,1 bulb garlic washed and unpeeled ,1 tablespoon whole white pepper or whole black pepper (see note 2) ,1 ear fresh sweet corn husks removed and cut into sections ,1 large carrot cut into chunks (see note 3) ,Scallions or cilantro (coriander)","[Blanch the ribs] 1) Put pork ribs into a pot. Add cold water about 1 inch over the meat. Bring it to a boil. | 2) Skim off any foam appearing on the surface until there is no more. Take out the ribs and discard the water. | [Simmer the ribs] 1) Put the ribs in the cleaned pot, then pour in 4 cups (1 liter) of hot water and add salt, the whole bulb of garlic, and peppercorns kept in a strainer or a spice bag. | 2) Bring the water to a full boil then turn the heat down to low. Cover the pot with a tight lid and leave to simmer for 35 to 40 minutes, or until the meat becomes tender. | [Cook the vegetables] 1) Take out the garlic and peppercorns. Add the sweetcorn pieces and carrot chunks. Increase the heat to medium. Leave to boil with the lid on for about 10 minutes until the carrot softens. | 2) Taste the soup to decide if extra salt is needed. Garnish with chopped scallions or cilantro before dishing out to serve.",https://redhousespice.com/wp-content/uploads/2024/09/pork-rib-soup-with-corn-carrot-4-scaled.jpg,Soup,Chinese,pork soup,238 kcal,5.0,4.0,12.0
Chinese pork rind jelly (肉皮冻),"Springy and slippery, Chinese pork rind jelly is truly a delight to enjoy. There is no commercial gelatin involved and it’s very simple to prepare.",https://redhousespice.com/pork-rind-jelly/,10m,50m,60m,4 servings,"[For braising the pork rind] 200 g pork rind (pork skin) 7oz ,600 ml water 2½ cups ,2 tablespoon light soy sauce ,½ tablespoon Shaoxing rice wine ,¼ teaspoon salt ,2 stalk scallions ,3 slice ginger ,1 star-anise ,1 piece cassia cinnamon ,1 bay leaf | [For the dressing] 4 teaspoon black rice vinegar ,2 teaspoon light soy sauce ,1 pinch salt ,1 teaspoon pure sesame oil ,3 cloves garlic crushed ,1 tablespoon homemade chilli oil or fresh chilli, chopped ,Toasted sesame seeds ,Coriander chopped","[Instructions] 1) Boil pork rind for 3 minutes then drain. Cut it into narrow strips when cool enough to handle (see note 1). | 2) Pour water into a clean pot. Add pork rind strips and other ingredients from braising. Bring the water to a boil then leave to simmer (with the lid on) for 50-60 mins until the pork rind becomes very soft. | 3) Discard scallions, ginger and the spices. Pour everything else into a container. When completely cool, store in the fridge for 3-4 hours until a hard block of jelly forms. | 4) Cut the jelly block as you like (thin slices or cubes) then place on a serving plate. Mix all the ingredients for the dressing. Pour it over the jelly then serve with plain rice and other savoury dishes (see note 2).",https://redhousespice.com/wp-content/uploads/2017/07/pork-rind-aspic.jpg,Salad,Chinese,Pork,327 kcal,5.0,5.0,18.0
Pork and Sour Vegetable Stir-Fry (酸菜肉末),"A quick and easy dish bursting with flavors, Chinese pork and sour vegetable stir-fry is versatile and pairs well with many staples.",https://redhousespice.com/pork-sour-vegetable/,5m,5m,130m,4 servings,"[Ingredients] 9 oz pickled mustard greens see note 1 ,2 tablespoon neutral cooking oil divided ,1 lb ground pork see note 2 ,1 tablespoon Shaoxing rice wine ,1 tablespoon light soy sauce ,1 teaspoon dark soy sauce ,2 stalk scallions finely chopped ,3 clove garlic minced ,1 teaspoon minced ginger ,Chilies dried or fresh ones, to taste ,1 teaspoon sesame oil ,½ teaspoon sugar ,⅛ teaspoon ground white pepper","[Prepare the vegetable] 1) Rinse pickled mustard greens under running water. Then soak them in plenty of water for 2 hours or overnight (see note 3). | 2) Drain and squeeze out any excess water. Cut them into tiny pieces. | [Fry the pork] 1) Heat 1½ tablespoons of oil in a wok or a large skillet over high heat. Stir in the ground pork. | 2) Use a spatula to break and loosen any large lumps, and toss to fry until the meat loses its pink color. | 3) Add Shaoxing rice wine, light soy sauce, and dark soy sauce. Stir fry for 10 more seconds then dish out and set aside. | [Combine the dish] 1) Pour the remaining ½ tablespoon of oil into the wok/skillet. Add most of the scallions (keep some for garnishing), garlic, ginger, and chilies. Sizzle until fragrant. | 2) Put in the chopped pickled mustard greens. Toss for one and a half minutes or so. Then put the pork back into the wok. Mix and fry for a further 30 seconds. | 3) Add sesame oil, sugar, white pepper, and the remaining scallions. Give everything a thorough stir before dishing out to serve.",https://redhousespice.com/wp-content/uploads/2024/06/pork-pickle-stirfry-3-scaled.jpg,Main Course,Chinese,pork stirfry,402 kcal,5.0,2.0,6.0
Scallion Pork Chops (葱烤大排),"Succulent pork flavored with fried scallions and a rich sauce, Shanghai scallion pork chops are hearty, comforting and quick to prepare.",https://redhousespice.com/scallion-pork-chops/,5m,10m,43m,6 servings,"[Ingredients] 2 lb pork chops about 6 pieces (see note 1) | [For marinating] 1 tablespoon light soy sauce ,1½ tablespoon cornstarch mixed with 3 tablespoon water ,¼ teaspoon ground white pepper | [For cooking] 2 tablespoon neutral cooking oil ,15 stalks scallions cut into halves ,4 tablespoon Shaoxing rice wine ,2 tablespoon dark soy sauce ,1 tablespoon light soy sauce ,1 tablespoon white sugar or to taste ,4 tablespoon hot water","[Pound the meat] 1) Place the pork chops, one piece at a time, onto a sturdy cutting board. Use a meat pounder (meat mallet), or the spine of a cleaver, to flatten the meat. | 2) Flip over to do the same to the other side until the meat is reduced to about half of the original thickness. | [Marinate the meat] 1) Put the pork chops into a large mixing bowl. Add light soy sauce, cornstarch (mixed with water) and white pepper. | 2) Use your hand to mix and rub until the liquid has been fully absorbed by the meat. Leave to marinate for 30 minutes or so. | [Sear the meat] 1) Add oil to a large skillet (frying pan). Place it over high heat. When the oil is hot, lay in the marinated pork chops without overlapping. | 2) As soon as the surface touching the skillet loses its pinkness and becomes lightly golden, turn the meat over to sear the other side (do not overcook). Remove from the skillet once both sides are done. Set aside. | [Braise the meat] 1) Turn the heat down to medium. Fry scallions in the remaining oil in the skillet until they begin to wilt and char slightly. | 2) Put the pork chop over the scallions. Add Shaoxing rice wine, dark soy sauce, light soy sauce, sugar and hot water. Cover with a lid and leave to braise for 5 to 7 minutes (see note 2). | 3) Remove the lid and turn the heat up to high. Let boil vigorously to reduce and thicken the cooking liquid. | 4) Dish out and serve warm with steamed rice or noodle soup (use the sauce diluted with hot water as the soup).",https://redhousespice.com/wp-content/uploads/2023/02/scallion-pork-chop-over-rice-scaled.jpg,Main Course,Chinese,"chinese pork chops, pork chops",317 kcal,5.0,13.0,27.0
Sichuan Garlic Pork Slices (蒜泥白肉),"Tender pork belly, thinly sliced and topped with an aromatic, garlicky chili sauce. Spicy but refreshing, Sichuan Garlic Pork Slices are a must-try for fans of bold flavors.",https://redhousespice.com/sichuan-garlic-pork-slices/,5m,30m,35m,4 servings,"[For the pork] 1 lb pork belly in a large chunk, skin on ,2 stalks scallions cut into sections ,6 slices ginger ,1 tablespoon Shaoxing rice wine ,1 teaspoon Sichuan peppercorn | [For the dressing] 1 tablespoon garlic finely minced ,2 tablespoon Chinese chili oil ,2 tablespoon light soy sauce see note 1 ,1 teaspoon black rice vinegar ,1 teaspoon sugar ,1 teaspoon sesame oil | [You also need] ½ large cucumber cut into slices or thin strips","[Cook the pork] 1) Put the pork belly into a large saucepan. Add scallion, ginger, Shaoxing rice wine, and Sichuan pepper. Pour in water, enough to fully cover the meat. | 2) Bring the water to a full boil, then turn the heat down to low. Leave to simmer with a lid on for 25-30 minutes. Flip the pork once halfway through. Check the doneness by poke a hole through in the middle of the meat with a chopstick. If there is no pink liquid oozing out, it’s fully cooked. | 3) Transfer the drained pork to a large bowl filled with cold water, with ice cubes if available (see note 2). | [Make the dressing] 1) While waiting for the meat to cool, prepare the dressing in a small bowl by mixing all the seasonings: garlic, chili oil, light soy sauce, black rice vinegar, sugar, and sesame oil. | [Assemble the dish] 1) From the wider side of the pork belly, cut it into slices, as thin as possible, with a sharp knife. | 2) Place the cucumber over a serving plate, then top it with pork slices. Pour the dressing over then serve.",https://redhousespice.com/wp-content/uploads/2025/06/Sichuan-Garlic-Pork-Slices-2.jpg,Main Course,Chinese,pork belly,685 kcal,5.0,1.0,3.0
Sichuan Shredded Pork with Garlic Sauce (鱼香肉丝),"A signature Sichuan dish, shredded pork with garlic sauce features tender meat, crisp vegetables, and a boldly flavored sauce that's hard to resist.",https://redhousespice.com/sichuan-shredded-pork-garlic-sauce/,20m,5m,25m,3 servings,"[For the meat] 10 oz pork tenderloin aka pork fillet ,2 teaspoon light soy sauce ,2 teaspoon Shaoxing rice wine ,1 teaspoon cornstarch ,1 pinch salt ,1 tablespoon water ,1 teaspoon neutral cooking oil | [For the sauce] 2 tablespoon black rice vinegar ,1½ tablespoon Shaoxing rice wine ,1 tablespoon light soy sauce ,½ tablespoon dark soy sauce ,2 tablespoon sugar ,1½ tablespoon cornstarch ,2 tablespoon water | [You also need] 3 tablespoon neutral cooking oil divided ,2 tablespoon pickled chili finely chopped (see note 1) ,2 teaspoon garlic minced ,1 teaspoon ginger minced ,½ cup carrot julienned ,½ cup wood ear mushrooms rehydrated and julienned (see note 2) ,½ cup bamboo shoots julienned ,1 stalk scallions finely chopped","[Marinate the pork] 1) Cut pork tenderloin into narrow strips (see note 3). Then, mix them with light soy sauce, Shaoxing rice wine, cornstarch, salt, and water. Once no more liquid can be seen, rub in oil to coat the meat evenly. | [Mix the sauce] 1) In a small bowl, mix black rice vinegar, Shaoxing rice wine, light soy sauce, dark soy sauce, sugar, cornstarch, and water. Set aside. | [Sear the pork] 1) Heat a wok over high heat until very hot, then pour in 2 tablespoons of oil (if using non-stick cookware, be sure to add oil first then heat it). Add the marinated pork. Toss to sear it quickly. Once the meat turns pale, transfer out to a plate for later use. | [Stir-fry the vegetables] 1) Add the remaining 1 tablespoon of oil to the empty wok. Sizzle pickled chili, garlic, and ginger until fragrant. Then, put in wood ear mushrooms, bamboo shoots and carrots. Stir-fry until they just begin to wilt. | [Combine the dish] 1) Return the pork to the wok. Stir fry for 30 seconds or so. Turn the heat down to low then pour in the sauce (stir well beforehand to avoid starch sitting at the bottom). | 2) As soon as the sauce starts to thicken, turn off the heat and stir in scallions. Serve immediately with steamed rice.",https://redhousespice.com/wp-content/uploads/2025/03/Sichuan-shredded-pork-with-garlic-sauce-5.jpg,Main Course,Chinese,"aubergine salad, Pork, Sichuan",344 kcal,4.92,50.0,115.0
Braised spare ribs with black bean sauce,"Multi-layered flavour penetrating the tender meat, braised spare ribs with black bean sauce is a scrumptious treat requiring effortless preparation.",https://redhousespice.com/spare-ribs-black-bean-sauce/,5m,45m,50m,4 servings,"[For the black bean sauce (skip if using shop-bought version)] 70 g fermented black beans about ½ cup ,110 ml cooking oil about ½ cup ,1 stalk scallions, cut into sections ,3 slices ginger ,½ teaspoon Sichuan pepper ,3 tablespoon fresh chilli, finely chopped optional ,2 tablespoon garlic minced ,1 tablespoon light soy sauce ,1 teaspoon Shaoxing rice wine ,½ teaspoon sesame oil ,1 pinch sugar ,1 pinch salt | [For the ribs] 700 g spare ribs about 1½ lb ,1 tablespoon cooking oil ,1 onion, sliced ,2 teaspoon ginger, julienned ,3 tablespoon homemade black bean sauce or shop-bought (see note 1) ,1 tablespoon light soy sauce ,1 stalk scallions, finely chopped","[Make the black bean sauce (skip if using shop-bought version)] 1) Rinse fermented black beans under running water. Dry them very well with kitchen paper. Coarsely chop them into small pieces. | 2) Place scallions, ginger and Sichuan peppercorn in a wok. Pour in oil then heat up over medium heat. When the scallions and ginger become lightly brown, pick them out along with the Sichuan peppercorn and discard. | 3) Add fermented black beans and all the other ingredients for the sauce into the oil. Stir fry for 2-3 minutes. This recipe makes about 1 cupful of sauce (See note 2 for other usage and storage tips). | [Braise the pork ribs] 1) Put ribs into a pot filled with cold water (enough to cover the ribs completely). Bring the water to a full boil. Use a spoon to skim off the froth on the surface. Then drain the ribs. | 2) Heat up the oil in a clean pot over medium-high heat. Fry onion and ginger until they become soft. | 3) Stir in drained ribs. Add black bean sauce and soy sauce. Pour in hot water (just enough to cover the ribs). Cover the pot with a tight lid. Leave to simmer for at least 40 minutes until the meat becomes tender. | 4) Turn the heat to high, then cook uncovered until the broth reduces by half and becomes thick. Stir in scallions then dish out to serve.",https://redhousespice.com/wp-content/uploads/2017/04/Braised-ribs-with-black-bean-sauce.jpg,Main Course,Chinese,Pork,586 kcal,5.0,10.0,31.0
Sweet and Sour Meatballs (糖醋丸子),Chinese sweet and sour meatballs stand out for their succulent texture and rich flavor. Discover a quick and easy way to make them from scratch!,https://redhousespice.com/sweet-and-sour-meatballs/,15m,15m,30m,4 servings,"[For the meatballs] 1 lb ground pork or beef, chicken, turkey, see note 1 ,1 egg ,2 tablespoon panko breadcrumbs ,1 tablespoon cornstarch ,1 tablespoon light soy sauce ,1 teaspoon sesame oil ,½ teaspoon salt ,¼ teaspoon ground white pepper ,¼ teaspoon garlic powder optional | [For the sauce] 3 tablespoon tomato ketchup ,2 tablespoon black rice vinegar or white rice vinegar ,2 tablespoon sugar ,1 tablespoon light soy sauce ,2 teaspoon cornstarch ,¼ teaspoon ground white pepper ,2 tablespoon water | [Optional garnishing] Toasted sesame seeds","[Shape the meatballs] 1) Put ground meat into a mixing bowl. Add egg, breadcrumbs, cornstarch, light soy sauce, sesame oil, salt, white pepper, and garlic powder (optional). Mix until well combined. | 2) Divide the mixture into 20-22 equal portions (about 1 heaping tablespoon each). Use your hands to shape each portion into a ball. | [Bake the meatballs] 1) Preheat the oven to 350ºF (180ºC) or 320ºF (160ºC) for a fan-assisted oven. | 2) Arrange the meatballs on a baking dish (line it with parchment paper if it isn't non-stick). Place the dish over the middle rack of the oven. Leave to bake for about 12 minutes (see note 2). | [Cook the sauce] 1) In a bowl, combine tomato ketchup, black rice vinegar, sugar, light soy sauce, cornstarch, white pepper, and water. Stir until smooth and lump-free. | 2) Pour the mixture into a skillet. Cook over low heat while stirring with a spatula constantly. Once the sauce is nearly at the desired consistency, add the baked meatballs. | 3) Turn off the heat and gently stir the meatballs until they are evenly coated in the sauce. Optionally, sprinkle toasted sesame seeds over before serving.",https://redhousespice.com/wp-content/uploads/2024/11/sweet-and-sour-meatballs-6.jpg,Main Course,Chinese,Chinese meatballs,400 kcal,5.0,1.0,3.0
"Twice Cooked Pork (Hui Guo Rou, 回锅肉)","Tender yet crispy pork slices flavoured with fermented seasonings, twice cooked pork is a mouth-watering Chinese delicacy. This recipe provides many tips on how to achieve the best flavour and texture.",https://redhousespice.com/twice-cooked-pork-fast-version/,10m,35m,45m,2 servings,"[Ingredients] 300 g pork belly, in one piece 10oz ,5 slices ginger ,2 teaspoon cooking oil ,1 tablespoon Sichuan chilli bean paste see note 1 ,1 tablespoon fermented black beans (Dou Chi, 豆豉) see note 2 ,3 cloves garlic, sliced ,1 small leek, cut diagonally see note 3 ,2 fresh red chili peppers, cut diagonally ,1 teaspoon light soy sauce ,1 teaspoon Shaoxing rice wine ,1 pinch sugar","[Precook the pork] 1) Place pork belly and ginger into a pan. Pour in enough water to cover the meat. Bring the water to a full boil. Turn down the heat and leave to simmer for 30 mins (see note 4). | 2) Drain the pork then put it into a bowl of cold water. Once it’s cool enough to touch, cut it crosswise into thin slices. Pat dry the pork slices with paper towel to remove any excess water on the surface (this helps to prevent oil splashing in the next step). | [Stir-fry the dish] 1) Heat the wok over high heat until it starts to smoke (See note 5 if you’re using a non-stick wok). Pour in oil and add pork belly pieces. | 2) Stir constantly to sear the meat. Once it lightly browns, transfer to a plate but leave all the oil in the wok. | 3) Turn the heat to low. Add Sichuan chili bean paste, fermented black beans and garlic to the oil. Sizzle for 30 seconds or so. | 4) Turn up the heat to high. Put the pork slices back into the wok. Add leek, fresh chili, Shaoxing rice wine, soy sauce and sugar. Stir fry until the leek and chili start to wilt (but still a little crunchy). Dish out and serve immediately.",https://redhousespice.com/wp-content/uploads/2017/06/Twice-cooked-pork-10-scaled.jpg,Main Course,Chinese,"Authentic, Sichuan",,5.0,40.0,70.0
Winter Melon Soup with Meatballs (冬瓜丸子汤),"A comforting dish with natural umami taste, winter melon soup with meatballs is an easy dish that warms your body in a very tasty way.",https://redhousespice.com/winter-melon-soup-with-meatballs/,10m,15m,25m,4 servings,"[Ingredients] 400 g winter melon, 14oz ,50 g mung bean vermicelli (Fen Si/粉丝) see note 1 | [For the meatballs] 250 g minced pork, or minced chicken 9oz ,1 stalk scallions, finely chopped ,1 teaspoon minced ginger ,½ tablespoon light soy sauce ,¼ teaspoon salt ,¼ teaspoon ground white pepper ,1 tablespoon tapioca starch, or corn starch ,1 egg white | [For the soup] 1 teaspoon neutral cooking oil ,½ tablespoon papery dried shrimp see note 2 ,1 stalk scallions, finely chopped ,1000 ml water 4 cups ,½ teaspoon salt or to taste ,⅛ teaspoon ground white pepper ,1 teaspoon sesame oil ,Coriander, finely chopped optional","[Prepare the winter melon] 1) Trim off the hard, green skin of the winter melon and remove its seeds. Cut into bite-sized chunks. Set aside. | [Soak the vermicelli] 1) Put dried mung bean vermicelli in a bowl. Pour in tap water to soak (enough to cover). Drain after 10 mins. Cut into shorter sections with scissors. | [Make the meatball mixture] 1) Put minced meat into a mixing bowl. Add scallions, ginger, light soy sauce, salt, white pepper, starch, and egg white. Stir in the same direction to combine until no more liquid can be seen and the mixture becomes sticky. | [Cook the soup] 1) Heat up oil in a pot over medium heat then add dried papery shrimp and scallions. Fry until fragrant. | 2) Add water. Bring it to a very gentle simmer then turn the heat to low. | 3) Place some meat mixture onto the palm of your hand (wear a kitchen glove if you wish). Gently close your hand into a fist while squeezing some mixture out to form a ball through the opening between your thumb and index finger. Scoop it off with a spoon then slide into the soup (Please refer to the tutorial video below). Repeat the procedure to finish all the meatballs. | 4) Add the winter melon to the soup. Cover the pot with a lid. Turn the heat to medium. Leave to cook until the winter melon becomes soft (about 8-10 mins). | 5) Put in mung bean vermicelli. Cook for a further minute. | 6) Finally, add salt, ground white pepper & sesame oil. Garnish with coriander (if using). Serve warm in a large soup dish or individual serving bowls.",https://redhousespice.com/wp-content/uploads/2020/10/Winter-melon-and-meatball-soup-7-scaled.jpg,Main Course,Chinese,"Easy, Tung Kua Tong",155 kcal,5.0,11.0,20.0
Broccoli with Garlic Sauce (蒜蓉西兰花),"A must-try dish, broccoli with garlic sauce shows you a classic Chinese way to make vegetables irresistibly appealing.",https://redhousespice.com/broccoli-with-garlic-sauce/,2m,4m,6m,2 servings,"[For blanching] 1 medium head broccoli ,1 small carrot ,1 teaspoon salt | [For stir-frying] 1 tablespoon oyster sauce see note ,1 teaspoon cornstarch ,⅛ teaspoon salt ,1 pinch white pepper ,5 tablespoon water ,1 tablespoon neutral cooking oil ,4 cloves garlic crushed and coarsely chopped","[Prepare] 1) Wash broccoli thoroughly under running water. Cut it into bite-sized florets. Remove the outer layer of the thick stem then cut it into thick slices. | 2) Peel the carrot then cut it diagonally into thin slices. | [Blanch] 1) In a wok or a pot, bring about 4 cups (1 liter) of water to a full boil. Add 1 teaspoon of salt then put in the broccoli. Leave to cook for about 1 to 1½ minutes, then add the carrots and continue cooking for 1 more minute. Drain the vegetables and set aside. | [Stir-fry] 1) While waiting for the vegetables to blanch, mix oyster sauce, cornstarch, salt (⅛ teaspoon), and white pepper with water (5 tablespoons). | 2) Heat oil in a wok or a pan over medium heat. Add garlic and sizzle it for 15 seconds or so. | 3) Turn the heat down to low, then pour in the seasoning mixture (stir well beforehand in case any starch sinks to the bottom). Swirl with a spatula as the sauce thickens. | 4) Put in the blanched broccoli and carrot. Toss swiftly to combine until the vegetables are evenly coated with the sauce.",https://redhousespice.com/wp-content/uploads/2024/09/broccoli-stir-fry-2-scaled.jpg,Side Dish,Chinese,broccoli stir-fry,191 kcal,5.0,1.0,3.0
Chicken Fried Rice (鸡肉炒饭),Making your takeout favorite at home is easy! This chicken fried rice recipe includes many tips to help you achieve the best result.,https://redhousespice.com/chicken-fried-rice/,10m,6m,16m,3 servings,"[For the chicken] 1 small piece chicken breast about 7 oz/200 g (see note 1) ,2 teaspoon cornstarch ,1 pinch salt ,1 tablespoon water | [For the seasonings] 2 tablespoon light soy sauce ,1 tablespoon dark soy sauce ,⅛ teaspoon ground white pepper ,1 teaspoon sesame oil | [You also need] 2 tablespoon neutral cooking oil divided ,3 clove garlic minced ,1 small onion diced ,1 cup button mushrooms diced (see note 2) ,½ cup red pepper diced ,½ cup peas ,3 cup cooked rice see note 3 ,1 stalk scallions finely chopped","[Marinate the chicken] 1) Cut the chicken into small cubes then put them into a bowl. Add cornstarch, salt, and water. Mix well and leave to marinate for 5 minutes. | [Mix the seasonings] 1) In a small bowl, mix light soy sauce, dark soy sauce, white pepper, and sesame oil. Set aside. | [Sear the chicken] 1) Heat an empty wok or large skillet over high heat until hot then add 1 tablespoon of oil ( N.B. if using cookware with non-stick coating, add oil first then heat up). | 2) Stir in the marinated chicken. Fry until the chicken pieces turn pale. Dish them out and leave any oil in the wok. | [Stir fry the vegetables] 1) Add the remaining 1 tablespoon of oil to the wok. Put in minced garlic and diced onion. Sizzle until the onion browns slightly. | 2) Stir in diced mushrooms, red pepper, and peas. Toss over high heat for about 1 minute. | [Combine the dish] 1) Tip in the cooked rice and pour in the seasoning mixture. Stir and toss constantly to heat the rice evenly. Use a spatula to loosen any rice in lumps. | 2) Once the rice becomes piping hot, return the chicken to the wok. Give everything a thorough toss for about 30 seconds. Stir in chopped scallions before dishing out to serve.",https://redhousespice.com/wp-content/uploads/2024/07/chicken-fried-rice-5-scaled.jpg,Main Course,Chinese,fried rice,446 kcal,5.0,2.0,5.0
"Di San Xian (Stir Fried Eggplant, Potato and Pepper)","Discover a fantastic way to cook vegetables! Di San Xian features three humble veggies, fried to perfection and flavored with a delectable sauce. Simply delicious!",https://redhousespice.com/di-san-xian/,2m,15m,22m,2 servings,"[For the vegetables] 1 Asian eggplant about 6 oz (170 g), see note 1 ,⅛ teaspoon salt ,1 tablespoon cornstarch ,1 medium potato about 9 oz (250 g) ,1 bell pepper about 6 oz (170 g) | [For seasoning] 1½ tablespoon light soy sauce ,1 teaspoon dark soy sauce ,½ tablespoon Shaoxing rice wine or dry sherry ,1 tablespoon cornstarch ,¼ teaspoon ground white pepper ,¼ teaspoon sugar ,5 tablespoon water | [You also need] 4 tablespoon neutral cooking oil ,4 clove garlic minced ,1 stalk scallions finely chopped","[Prepare the vegetables] 1) Cut the eggplant into large bite-sized pieces using the roll-cut technique: cut crossways at a 45° angle, then give it a quarter turn and cut again. Sprinkle salt over and let sit for 5 minutes. Then evenly coat the pieces with cornstarch. | 2) Peel the potato and cut it into pieces similar in size and shape to the eggplant. Then cut the pepper. | [Mix the sauce] 1) In a small bowl, mix all the seasoning ingredients with water. Set aside. | [Shallow fry the vegetables] 1) Heat oil in a wok or skillet. Add the potato and fry over medium heat. Flip several times to lightly brown all sides. Then transfer the pieces to a wire rack or a plate lined with paper towels. | 2) Add the pepper next, and fry until its surface blisters. Remove it from the wok and drain over the rack. | 3) Turn the heat to high and add the eggplant. Fry until the surface turns slightly golden and crispy. Transfer out. | [Stir-fry the dish] 1) Remove most of the oil from the wok, leaving just a thin layer. Add garlic and scallions. Leave to sizzle over low heat until fragrant. | 2) Stir the premixed sauce very well before pouring it into the wok. Swirl with a spatula right away as it thickens very quickly (see note 2). | 3) Put in all the vegetables. Toss to coat all pieces with the glossy sauce. Dish out and serve with steamed rice immediately.",https://redhousespice.com/wp-content/uploads/2024/05/stir-fried-eggplant-potato-pepper-5-scaled.jpg,Side Dish,Chinese,eggplant recipe,312 kcal,5.0,7.0,20.0
